dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
source_family,la presse de tunisie,13,12,0,0,0,12,13,0
source_family,la presse de tunisie page facebook officielle,1,0,0,0,0,0,1,1
source_family,le matin maghreb arabe presse,1,1,0,0,0,1,1,1
source_family,le monde,12,11,0,0,0,11,12,0
source_family,le monde archives,1,1,0,0,0,1,1,1
source_family,le petit journal tunis,1,1,0,0,0,1,1,1
source_family,le quotidien,1,1,0,0,0,1,1,1
source_family,leaders,32,26,0,0,0,26,32,0
source_family,leaders official site,1,1,0,0,0,1,1,1
source_family,leaders tunisia,1,0,0,0,0,0,1,1
source_family,leaders tunisie,1,1,0,0,0,1,1,1
source_family,league of arab states general secretariat,1,0,0,0,0,0,1,1
source_family,legal agenda,1,1,0,0,0,1,1,1
source_family,legal databases tunisie,1,1,0,0,0,1,1,1
source_family,legifrance jorf n 209,1,0,0,0,0,0,1,1
source_family,legislation securite tn,3,3,0,0,0,3,3,0
source_family,legislation securite tn dcaf,4,4,0,0,0,4,4,0
source_family,legislation securite tn jort,1,1,0,0,0,1,1,1
source_family,legislation securite tn legal database,1,1,0,0,0,1,1,1
source_family,los angeles times,1,1,0,0,0,1,1,1
source_family,maghreb intelligence,1,1,0,0,0,1,1,1
source_family,managers,1,1,0,0,0,1,1,1
source_family,managers tn,4,2,0,0,0,2,4,1
source_family,maxula bourse,1,1,0,0,0,1,1,1
source_family,media ownership monitor tunisia reporters without borders,2,2,0,0,0,2,2,1
source_family,menadefense specialiste defense maghreb,1,0,0,0,0,0,1,1
source_family,middle east institute,1,1,0,0,0,1,1,1
source_family,middle east online,1,1,0,0,0,1,1,1
source_family,ministere de l interieur interieur gov tn,2,1,0,0,0,1,2,1
source_family,ministere de l interieur tunisie portail officiel,1,0,0,0,0,0,1,1
source_family,ministere de l interieur tunisie portail open data direction generale des affaires regionales,1,0,0,0,0,0,1,1
source_family,ministere de la defense nationale tunisie portail officiel,2,0,0,0,0,0,2,1
source_family,ministere des affaires religieuses,1,0,0,0,0,0,1,1
source_family,ministere des affaires religieuses site officiel,1,1,0,0,0,1,1,1
source_family,ministere des affaires religieuses tunisie,1,1,0,0,0,1,1,1
source_family,ministere des finances tunisie,1,1,0,0,0,1,1,1
source_family,ministerio de asuntos exteriores union europea y cooperacion spain,1,0,0,0,0,0,1,1
source_family,ministero degli affari esteri e della cooperazione internazionale italia,1,0,0,0,0,0,1,1
source_family,ministero delle imprese e del made in italy italia,1,0,0,0,0,0,1,1
source_family,ministry of defence egypt,1,1,0,0,0,1,1,1
source_family,ministry of foreign affairs of japan,2,0,0,0,0,0,2,1
source_family,ministry of national defence algeria,1,1,0,0,0,1,1,1
source_family,mondafrique,7,4,0,0,0,4,7,0
source_family,mosaique fm,7,6,0,0,0,6,7,0
source_family,natural resource governance institute,1,1,0,0,0,1,1,1
source_family,nawaat,16,13,0,0,0,13,16,0
source_family,nessma tv,1,1,0,0,0,1,1,1
source_family,nobel prize committee,1,1,0,0,0,1,1,1
source_family,noonpost,2,1,0,0,0,1,2,1
source_family,noria research mena programme,1,1,0,0,0,1,1,1
source_family,occrp,1,1,0,0,0,1,1,1
source_family,openstreetmap,37,0,0,0,0,0,37,1
source_family,orient xxi avec cadtm,1,0,0,0,0,0,1,1
source_family,orient xxi khadija mohsen finan,1,1,0,0,0,1,1,1
source_family,oryx,1,1,0,0,0,1,1,1
source_family,oxford university press,1,1,0,0,0,1,1,1
source_family,portail de la presidence du gouvernement,3,3,0,0,0,3,3,0
source_family,portail de la presidence du gouvernement tunisie,6,5,0,0,0,5,6,0
source_family,portail du gouvernement tunisien,2,1,0,0,0,1,2,1
source_family,presidence du gouvernement tunisien,1,1,0,0,0,1,1,1
source_family,primature pm gov tn,1,1,0,0,0,1,1,1
source_family,princeton university press,1,1,0,0,0,1,1,1
source_family,publisud,1,1,0,0,0,1,1,1
source_family,realites,3,3,0,0,0,3,3,0
source_family,regulation afrique blogspot com relayant business news,1,0,0,0,0,0,1,1
source_family,republic of turkiye ministry of trade,1,0,0,0,0,0,1,1
source_family,reuters,22,17,0,0,0,17,22,0
source_family,revue d histoire moderne et contemporaine cairn,1,0,0,0,0,0,1,1
source_family,rfi,3,3,0,0,0,3,3,0
source_family,rfi afp,1,1,0,0,0,1,1,1
source_family,rtbf belga,1,1,0,0,0,1,1,1
source_family,script tunis,1,0,0,0,0,0,1,1
source_family,senat france,1,0,0,0,0,0,1,1
source_family,solar water plc,1,0,0,0,0,0,1,1
source_family,statbase org imf world economic outlook,1,0,0,0,0,0,1,1
source_family,stb bank site officiel,1,1,0,0,0,1,1,1
source_family,tap agence tunisienne d information,1,1,0,0,0,1,1,1
source_family,telecompaper,1,1,0,0,0,1,1,1
source_family,terna s p a,1,0,0,0,0,0,1,1
source_family,terna s p a and steg elmedproject com,1,0,0,0,0,0,1,1
source_family,the africa report,1,1,0,0,0,1,1,1
source_family,the business standard bangladesh,1,0,0,0,0,0,1,1
source_family,the eastafrican,1,0,0,0,0,0,1,1
source_family,the journal of north african studies taylor and francis,1,1,0,0,0,1,1,1
source_family,the money themoney tn,1,0,0,0,0,0,1,1
source_family,time,1,1,0,0,0,1,1,1
source_family,tralac trade law centre,1,0,0,0,0,0,1,1
source_family,tunis afrique presse tap,4,3,0,0,0,3,4,0
source_family,tunis afrique presse via aman alliance,1,0,0,0,0,0,1,1
source_family,tuniscope,2,2,0,0,0,2,2,1
source_family,tuniscope who s who,1,0,0,0,0,0,1,1
source_family,tunisia japan friendship association,1,0,0,0,0,0,1,1
source_family,tunisiatv,1,0,0,0,0,0,1,1
